CODIGO,ENTIDAD,NOMBRE FANTASIA,DIRECCION,COMUNA,HORARIO REFERENCIAL,ESTE,NORTE,LONGITUD,LATITUD
102,UNIMARC,UNIMARC JUAN ANTONIO RIOS,SALOMON SACK 351,INDEPENDENCIA,Lun-Dom 09:00 a 20:00,344653,6300937,-70.67080616666668,-33.419566666666654
103,UNIMARC,UNIMARC DORSAL,AV. EL GUANACO 3100,CONCHALI,Lun-Dom 09:00 a 20:00,345812,6303726,-70.6578679616206,-33.3945915377861
104,UNIMARC,UNIMARC LO OVALLE,GRAN AVENIDA JOSE MIGUEL CARRERA 6555,LA CISTERNA,Lun-Dom 09:00 a 20:00,345864,6290169,-70.65963511904762,-33.516832083333334
105,UNIMARC,UNIMARC VICUÑA PARAD 19,AV. VICUÑA MACKENNA 9090,LA FLORIDA,Lun-Dom 09:00 a 20:00,352240,6287757,-70.5914099988768,-33.5394802038029
106,UNIMARC,UNIMARC ROJAS MAGALLANES,AV. ROJAS MAGALLANES 3638,LA FLORIDA,Lun-Dom 09:00 a 20:00,355705,6288235,-70.5547798666583,-33.5359270019668
107,UNIMARC,UNIMARC MIRADOR,AV. VICUÑA MACKENNA ORIENTE 6331,LA FLORIDA,Lun-Dom 09:00 a 20:00,350733,6290567,-70.6071683333333,-33.513935000000004
108,UNIMARC,UNIMARC VICENTE VALDES,VICENTE VALDES 87,LA FLORIDA,Lun-Dom 09:00 a 20:00,351873,6289192,-70.595128,-33.526600
109,UNIMARC,UNIMARC LA REINA,PRINCIPE DE GALES 7271,LA REINA,Lun-Dom 09:00 a 20:00,355356,6298989,-70.5566216661032,-33.439033930051
110,UNIMARC,UNIMARC BATUCO,AV. FRANCIA 640,LAMPA,Lun-Dom 09:00 a 20:00,331559,6321701,-70.80771748822639,-33.230514171094136
112,UNIMARC,UNIMARC LARAPINTA,LOS HALCONES 2180,LAMPA,Lun-Dom 09:00 a 20:00,326185,6314537,-70.86674258469635,-33.294249826808695
113,UNIMARC,UNIMARC LAS CONDES,AV. LAS CONDES 14791,LO BARNECHEA,Lun-Dom 09:00 a 20:00,360519,6306992,-70.4992863209999,-33.3671586729999
114,UNIMARC,UNIMARC LOS MILITARES,AV. MANQUEHUE NORTE 457,LAS CONDES,Lun-Dom 09:00 a 20:00,354145,6302875,-70.569019,-33.403826
115,UNIMARC,UNIMARC ESCUELA MILITAR,AV. APOQUINDO 4335,LAS CONDES,Lun-Dom 09:00 a 20:00,352586,6301546,-70.5854137269988,-33.4151957807766
116,UNIMARC,UNIMARC MANQUEHUE,AV. MANQUEHUE SUR 1700,LAS CONDES,Lun-Dom 09:00 a 20:00,354613,6300293,-70.5638241520871,-33.4267767581412
117,UNIMARC,UNIMARC LOS TRAPENSES,AV. JOSE ALCALDE DELANO 10497,LO BARNECHEA,Lun-Dom 09:00 a 20:00,356800,6308128,-70.539645,-33.356825
118,UNIMARC,UNIMARC 2° TRANSVERSAL MAIPU,AV. SEGUNDA TRANSVERSAL 4090,MAIPU,Lun-Dom 09:00 a 20:00,338124,6293185,-70.742400759,-33.488491715
119,UNIMARC,UNIMARC EL ROSAL,AV. EL ROSAL 6361,MAIPU,Lun-Dom 09:00 a 20:00,336855,6294206,-70.755865037,-33.4790914719999
120,UNIMARC,UNIMARC MAIPU 4 PONIENTE ,AV. CUATRO PONIENTE 1197,MAIPU,Lun-Dom 09:00 a 20:00,333505,6288379,-70.7929883333333,-33.5311133333333
121,UNIMARC,UNIMARC SILVA CARVALLO,AV. ALFREDO SILVA CARVALLO 1414,MAIPU,Lun-Dom 09:00 a 20:00,335188,6288336,-70.7748811580075,-33.5317578837243
124,UNIMARC,UNIMARC ABRAZO DE MAIPU,AV. JORGE GUERRA 16190,MAIPU,Lun-Dom 09:00 a 20:00,335550,6287195,-70.77119666666665,-33.542105555555565
125,UNIMARC,UNIMARC IGNACIO CARRERA PINTO,CAPITAN IGNACIO CARRERA PINTO 3857,ÑUÑOA,Lun-Dom 09:00 a 20:00,352230,6295382,-70.590836,-33.471126
126,UNIMARC,UNIMARC IRARRAZAVAL,AV. IRARRAZAVAL 4354,ÑUÑOA,Lun-Dom 09:00 a 20:00,352923,6297204,-70.5832589036208,-33.454682812099
127,UNIMARC,UNIMARC VILLA OLIMPICA,OBISPO ORREGO 1250,ÑUÑOA,Lun-Dom 09:00 a 20:00,349440,6296284,-70.620126539,-33.4622026659999
128,UNIMARC,UNIMARC GRECIA,AV. GRECIA 320,ÑUÑOA,Lun-Dom 09:00 a 20:00,349068,6296883,-70.624774370013,-33.4570436385942
129,UNIMARC,UNIMARC LOS LEONES,GENERAL JOSE ARTIGAS 3250,ÑUÑOA,Lun-Dom 09:00 a 20:00,351544,6297782,-70.5979928378057,-33.4492817398444
130,UNIMARC,UNIMARC BUIN MAIPO,CAMINO BUIN MAIPO 3147,BUIN,Lun-Dom 09:00 a 20:00,335520,6266251,-70.775400,-33.731020
131,UNIMARC,UNIMARC MANUEL MONTT,AV. IRARRAZAVAL 1740,ÑUÑOA,Lun-Dom 09:00 a 20:00,350095,6297309,-70.612909,-33.453171
132,UNIMARC,UNIMARC CONSISTORIAL,AV. CONSISTORIAL 2701,PEÑALOLEN,Lun-Dom 09:00 a 20:00,356177,6293886,-70.54804093749999,-33.48475083333333
135,UNIMARC,UNIMARC FCO. BILBAO,AV. FRANCISCO BILBAO 2050,PROVIDENCIA,Lun-Dom 09:00 a 20:00,350678,6299001,-70.60635638888888,-33.43787740740739
136,UNIMARC,UNIMARC CIUDAD DE LOS VALLES,AV. EN CANAL 19591,PUDAHUEL,Lun-Dom 09:00 a 20:00,328674,6297448,-70.843834,-33.44899
137,UNIMARC,UNIMARC CONCHA y TORO,AV. CONCHA Y TORO 3193,PUENTE ALTO,Lun-Dom 09:00 a 20:00,353338,6283191,-70.5810930577196,-33.5810872192106
138,UNIMARC,UNIMARC TRONCAL SAN FRANCISCO,AV. LAS NIEVES 2251,PUENTE ALTO,Lun-Dom 09:00 a 20:00,355568,6282217,-70.55648055378825,-33.58999730657146
139,UNIMARC,UNIMARC CARRASCAL,GONZALO BULNES 2407,QUINTA NORMAL,Lun-Dom 09:00 a 20:00,342151,6300975,-70.69770881268451,-33.41897606779182
141,UNIMARC,UNIMARC BUIN,BALMACEDA 280,BUIN,Lun-Dom 09:00 a 20:00,338889,6266137,-70.739633,-33.732849
